Question,Response
"Hey there!

 

I’m looking to buy two of these and get them sent to NZ:

 

MG945 Digital Servo - Metal Gear - High Torque - 360° (Continuous) - Maker Store PTY LTD

 

If you can assist this this, that would be awesome

 

Thank you!

 

Regards,

 

 

[customer]
","Hi [customer],

Thank you for your patience while we drafted this quotation for you.

Please let me know if your address details are correct and if there are any modifications to be made to this invoice before you process the payment.

Attached to this email is the pdf for your invoice, so you may review your order before purchasing.

This invoice is for payment via credit card. If you would like to pay via PayPal please let me know and I will adjust the invoice so it will include the 3% PayPal Processing Fee.

To proceed with the order, please follow the below payment link:
[payment link] 

Please note that stock may vary from the date of proposal to the date of purchase.

Please note that all the prices are quoted in Australian dollars.

If you have any questions, please do not hesitate to contact me. 


Kind regards,

[Staff Member]
Maker Store Team"
"Hey There,

 

That’s great, thank you!  If you coujld please having the shipping address changed to:

 

[address]

 

That would be ideal!

 

Thanks you very much!

 

Cheers,

 

[customer].","Hi [customer],

Thank you for your patience while we updated this quotation for you.

Please let me know if there are any changes to be made to this invoice before proceeding with the payment.

Attached to this email is the pdf for your invoice, so you may review your order before purchasing.

This invoice is for payment via credit card. If you would like to pay via PayPal please let me know and I will adjust the invoice so it will include the 3% PayPal Processing Fee.

To proceed with the order, please follow the below payment link:
[payment link]

Please note that stock may vary from the date of proposal to the date of purchase.

If you have any questions, please do not hesitate to contact me. 


Kind regards,

[Staff Member]
Maker Store Team"
"Hi Guys,

 

Just wondering if you could advise what material the below spacers are manufactured from – I suspect aluminium.

 

We are after M8 Round mild steel spacers x 10mm long with a diameter of 13mm.

 

Would appreciate if you could let me know if you have anything available.","Hi [customer],

Thanks for your email.

We currently only stock aluminium spacers.

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Please hold on to that order you sent it to the wrong address.
Where did you get it from?
Address below correct :
[address]","Hi [customer],

Thank you for your email,

It seems like you have accidentally entered a different state for your shipping address as our staff members have not made changes to the order details according to the website backlog.

I have contacted Australia Post regarding this matter and they are happy to redirect this parcel to you. They have provided me with a link to give back to the customer for this process. 

Please check the link below:
http://auspost.com.au/mypost/how-to/deliveries.html?about=delivery-addresses-that-work-for-you

Please do not hesitate to contact us if you have any questions or concerns.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi Maker store Sales team

Do we have an updated ETA on the remainder of the Servo motors ?

Thanks,
[customer]","Hi [customer],

Thank you for your email,

I have re-quoted the email I sent you on 12th August 2023, Please check below:

We are expecting the new shipment to arrive in 3rd week of October.

I have created an order for 23x Servo – SG90 – 360° (Continuous). If you would like to backorder these items, please follow the payment link to finalize the order.

Once we receive the new stock of Servo – SG90 – 360° (Continuous) motors in our store, we will ship them out to you as soon as possible.

I have attached the new invoice to this email for your reference, kindly review the invoice before you make the payment.

If you would like to do any modifications to the order, please let me know before you proceed with the payment.

This invoice is for payment via credit card. If you would like to pay via PayPal please let me know and I will adjust the invoice so it will include the 3% PayPal Processing Fee.

To proceed with the order, please follow the below payment link:
[payment link]

Please note that stock may vary from the date of proposal to the date of purchase.

If you have any questions, please do not hesitate to contact me. 


Kind regards,

[Staff Member]
Maker Store Team"
I make toys using plans purchased on line. The plans include cnc patterns in a .svg format to make parts on a CNC router. Can you recommend a CNC router kit & software for this application.,"Hi [customer],

Thank you for your enquiry,

We do have our Father's Day Sale currently happening on our website and there are some exceptional discounts listed for our selected CNC machines.

Would you be able to let us know more about your requirements?
Preferred workable area.
Applications that you mainly plan to use the CNC machine with (Hardwood, wood, plastics or soft metals)
With this information, we would be able to recommend you the most suitable machine for your needs.

Please do not hesitate to contact us if you have any further questions or concerns.


Kind regards,

[Staff Member]
Maker Store Team"
,"Hi [customer],

Thanks for getting back to me.

I'll note that you have already attended the class.

If you have any questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
,"Hi [customer],

Thanks for your email.

If you're interested, we also host a live stream for the class on Twitch which you can see at the following link:
https://www.twitch.tv/makerstore

I believe you can watch the stream for a few hours after the class starts.

If you have any questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi, I have a second hand Workbee from your store, not sure if it's v1 or v2.2. I also got both and air and water spindle. I was looking at mounting the second spindle on a slave z axis to enable cutting 2 of the same item at once, halving the cutting time. I was wondering if my machine would be compatible with your rack and pinion system on the x axis, and the pros & cons of your rack and pinion vs lead screw. Thanks!","Hi [customer],

Thanks for contacting us, sorry we missed you.

It's possible that your machine is compatible with our rack and pinion system as well as a slave Z axis but we need to get some more information to provide the most accurate assistance
Could you please let me know what controller you're using as well as what kind of spindles and motors you have?

I can provide the information I have so far.
First, no matter what components you have you will need 2 VFDs, 1 for each spindle.
You will also need a second set of Z-Axis components for the slave axis.
The engineers also said you would probably be looking at upgrading your controller to one that can handle duplicating the Z-Axis, but again we need more information about your current components to say for sure.

In regards to your question about the lead screw vs the rack and pinion system:
The lead screw transmission will generally be slightly more accurate but move slower.
The rack and pinion transmission is generally suggested if you want to extend the axis further than 1500mm as it allows accuracy at longer distances but it doesn't provide as high precision as a lead screw.

Please let me know some more information about your components so I can provide further assistance.

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi [Staff Member],
Thank you for the reply.
Sorry I forgot to specify that I was only asking about the mechanical side, I'm an industrial sparky, so I've got the electronics covered. I'm currently running a BTT SKR v1.3 with GRBLHAL, but depending on the final design I may change this.

What is the travel distance per rotation of the lead screw vs rack and pinion?

I failed to specify that the interest in the rack and pinion is to be able to adjust the spacing between the two heads depending on the product being machined.

Would the plates that currently have the x-axis nut blocks be the same as those used to mount the stepper motor for rack and pinion? I'm just unsure if the design has changed since this one was made.

Thanks!

Thanks,
[customer]","Hi [customer],

Thanks for getting back to me and for clarifying what you're looking for.

I have a table here that you can use to compare the travel distance for the lead screw vs rack and pinion:
image.png
You can see the base travel distance listed under mm/rev.
The actual travel distance will depend on the Micro Step setting on your stepper driver. You can see the step distance listed under the mm/step columns. 
You can find the relevant Micro Step settings at the top of that table.

Regarding your question about the X-Axis plates, it looks like the design of the plates changed between V2.2 and V3 so the plates will be different.
Also, the motor for a rack and pinion system needs to be mounted perpendicular to the X-Axis using a Gear Rack Motor Mount Plate which looks like this:
image.png
That's opposed to the Lead Screw system which has the motor mounted parallel to the X-Axis at the end of the axis.

I hope I have answered your questions well.
If you have any further questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi [Staff Member],
That's all extremely helpful, thank you so much!

That chart and drawing make it really easy to understand.

Is it possible to use any of the gear sizes specified in the table? I assume they have different diameters, is the mounting plate moved to suit this?

Thanks again for your help!
[customer]","Hi [customer],

Thanks for your reply.

I just got more information from the engineers and they said you will have to upgrade your whole X-Axis to be compatible with the Rack and Pinion transmission as there are some other parts that are different as well.
If you want to see the items you will need, you can see them on our website at the following links:
WorkBee V3 X-Axis Front Plate
https://www.makerstore.com.au/product/plate-wbv3-x-front-p002/
WorkBee V3 X-Axis Back Plate
https://www.makerstore.com.au/product/plate-wbv3-x-back-p001/
Gear Rack Motor Mount Plate
https://www.makerstore.com.au/product/plate-motor-rack/
WorkBee X-Axis Gear Rack Hardware Pack: 500mm-3000mm
https://www.makerstore.com.au/product/pack-wbxg-0500-3000-wb01/
Module 1.0 Gear Rack – Internal
https://www.makerstore.com.au/product/gear-m1-int-500-d/
Module 1.0 Pinion Gear – 6.35mm Bore
https://www.makerstore.com.au/product/gear-m1/
In terms of the gear sizes, I can't say for sure exactly which sizes you could use.

The recommended size for the WorkBee Rack and Pinion system is the 16-tooth Pinion Gear which comes in our kit.

It's possible that other sizes would work but that would take some experimentation.
As I mentioned in my previous email, it's possible to change the travel distance per step using the micro-step settings on the stepper driver.

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi,

 

Can I please have and Invoice sent through and confirm bank details? I need this for our accounts payable.

 

Thanks
[customer]","Hi [customer],

Thanks for your email.

It sounds like you want to pay for this order by bank transfer.

I've included the PDF for your invoice and attached it to this email.

You can find our bank details for any transfers you plan to make to us below:
image.png
Please note that stock may vary from the date of proposal to the date of purchase.

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
Whats the process when i purchase software from you website?,"Hi [customer],

Thanks for your patience while we got back to you.

I believe I talked to you yesterday but I'll explain the process anyway.

This process can differ slightly depending on the type of software but here is the general process:
Once someone purchases software on our website, we have to contact the company which develops the software.
When we contact them with the details they process the order then, once we obtain the activation key, we will pass it on to you along with information about this process.
You usually have to download the software and activate it with the licence key.

If you have any further questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hey guys,

I just talked to one of your staff on the phone about mounting the X axis stepper motor on the left side, rather than the right on my Outback 1500x1000 CNC kit.

If you could forward me the relevant software information that would be great!

Cheers,

-[customer]","Hi [customer],

Thanks for getting in contact with us.

I looked into this and there shouldn't be any issues with moving the motor to the opposite side other than having to invert the X-Axis in the software settings.

If you're using ioSender (which is recommended for the OutBack machine) you can invert the homing and stepping direction by editing your GRBL settings.
Look for the Homing Direction and Stepper Direction settings or something similar.
You want to invert only the X-Axis for each.
If you want more information you can look at our manual here:
https://makerhardware.net/knowledge-base/electronics/e5x-wiring-guide/#articleTOC_32

After that, your machine should be configured properly.

If you have any further questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi

 Order [order number]

Can you please advise tracking details for the above order","Hi [customer],

Thank you for your email.

Upon checking with our warehouse team, your order is picked and packed and waiting to be collected by the courier service.

Your parcel is scheduled to be dispatched from our warehouse by mid-day.

Once this order is dispatched from our warehouse, you will receive the tracking number via email.

Please let me know if you have any questions or concerns.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi team,

Just chasing a eta on my cnc I ordered yesterday 

Thanks! ","Hi [customer],

Thank you for your order with us.

Our warehouse was going through your order today, and they brought to my attention that you have a 3000mm extrusion in your order.

Our flat-rate shipping program does not cover any extrusion over 1600mm, and an extra shipping invoice is required to finalise your order.

This information can be found on our website on the following pages: 
Product Listings (When items can be longer than 1600mm) 
Cart Page - https://www.makerstore.com.au/cart/
Checkout Page - https://www.makerstore.com.au/checkout/
I have attached a shipping invoice to this email. Please review it and let me know if you have any questions or concerns.

This invoice is for payment via credit card. If you would like to pay via PayPal please let me know and I will adjust the invoice so it will include the 3% PayPal Processing Fee.

To proceed with the order, please follow the below payment link:
[payment link]

Please let me know if you have any questions or concerns.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi guys,

Just payed for the order via PayPal 

The sooner you could ship the better, 

Thanks! ",
"Hey mate

Processed now, money is pending from my account ","Hi [customer],

Thank you for getting back to me so quickly,

We have received the payment and I have informed our warehouse to proceed with the booking.

Your order is packed and packed and waiting for the courier to collect it from us.

Once this order is dispatched from our warehouse, you will receive the tracking number via email.

Please do not hesitate to contact us if you have any questions or concerns.


Kind regards,

[Staff Member]
Maker Store Team"
,"Hi [customer],

Thanks for your patience while I created this quote for you.

I just want to ensure I understood what you were looking for initially.
If I remember correctly, you were looking for a medium-range CNC machine with a size of 1500x3000 as well as a table to go with it.

The machine we would recommend is the WorkBee which is suitable for most standard jobs up to engraving soft metal.

I have created the quote for you but we are still working on getting an accurate shipping quote as shipping these machines can vary widely in price.
I added a full machine kit that we have on sale for Father's Day to help you save a bit on your machine.
If you're interested, you can see the machine that I included in your quote at the following link:
https://www.makerstore.com.au/product/kit-wbv3-1530-rc/
I also added the parts to complete the machine table.

For now, I've attached the invoice to this email as a PDF for your reference.
Could you please have a look at the invoice to ensure I got your information correct and also confirm that the details I included in this email are correct as well?

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi [Staff Member],

thanks, I will go through this shortly, does the quote include assembly at  our shop with one of your technicians  ? 

I’ll get back to you after going through the quote.

Cheers

[customer]","Hi [customer],

Thanks for getting back to me.

The quote does not include the machine assembly. 

I recently spoke with my manager and unfortunately, it looks like hosting an assembly at your location is not going to be feasible at this time.

It looks like you're nearby, so we can possibly assemble your machine in-store and deliver it to you but I'll have to get a quote for that if you're interested.

If you have any further questions or information about your project, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"This is [customer]. As per photo I want two spacers of this size sent to the same address. Can you email me the price please and can you send photo of the ones you are sending please

Thank you.","Hi [customer],

Thanks for getting in touch.

We don't have spacers as big as the one in your photo.

The biggest size we have is 13mm outside. I've annotated this image below for your reference:
image.png
You can see these on the website here:
https://www.makerstore.com.au/product/shim-spac-8-13/

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi MakerStore,

I’ve seen you’re C-beam heavy and it’s perfect for one of my current DIY projects.

I don’t have the ability to accurately cut aluminium extrudes and was wondering if you offer a service to cut the extrudes to custom lengths?

I’d obviously be happy to pay for the service if available!

Thanks,
[customer]","Hi [customer],

Thank you for your email,

We do cut our V-Slot Linear Extrusions to custom lengths as per our customer's request.

Please send us an email with a list of extrusions you need and mention the required cut dimensions. We will make a quote for you and send it to you to review before purchasing.

I have added the price breakdown below for your reference:

Our V-Slot lengths come in standard sizes and are not cut per order. We can cut V-Slot to custom lengths, pricing is as follows:
$3 Set up fee per length (that is each different custom length)
$2 Cut Fee per cut (physical cuts)
Eg, 3 cuts at 450mm, 2 cuts at 440mm. Cost is:
$3 (450mm set up)
$6 (3 custom cuts)
$3 (440mm set up)
$4 (2 custom cuts)
Total: $16
Please note that there will be a cutting loss of 4-5mm due to the blade Kerf / Blade thickness

image.jpeg

Please do not hesitate to contact us if you have any further questions or concerns


Kind regards,

[Staff Member]
Maker Store Team"
"Hi [Staff Member],

Looking at the picture below- will the beams be cut by hand with a hacksaw or a mill? 

I’m building a CNC machine so tolerances will have to be good in order for the system to work properly, do you know what tolerances the beam will be cut too?
[customer]

","Hi [customer],

Thank you for getting back to me so quickly,

The picture above is just to explain to our customers about the cutting blade kerf. I apologize if it is misleading.

We use an Industrial Saw with an inbuilt DRO system to cut our Aluminium extrusion precisely as per our customer's requirements.

Our Industrial Saw has a cutting tolerance of 0.5mm.

Please do not hesitate to contact us if you have any questions or concerns.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi

Can you please send me a drawing of the cross-sectional dimensions of the standard C beam as well as the heavy version?

The diagrams online are blurry and it is impossible to read the numbers.

Thanks

[customer]","Hi [customer],

Thanks for getting in contact with us.

We have a PDF data sheet for the C-Beam and C-Beam HEAVY attached to this email.

If you have any further questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Excellent, thanks.
Also are you able to tell me how heavy the 1m pieces are for the two types?
[customer]
","Hi [customer],

Thanks for your reply.

The weight for the C-Beam Standard is 2.2Kg at 1m long

The  weight for the C-Beam HEAVY is 3.2kg at 1m long

If you have any questions please let me know.


Kind regards,

[Staff Member]
Maker Store Team"
"Thank you, much appreciated.

Lastly, am I able to receive an educational discount when I place my order?

[customer]","Hi [customer],

Thanks for your enquiry.

If you want to apply for an educational discount, you should do it before you place your order.

You can find more information at the following link:
https://www.makerstore.com.au/10-community-discount/

Please follow the instructions on that discount page then we will investigate and, if approved, we will provide you with a discount code that can be applied to your order.

If you have any further questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"HI there,

I'm wanting to order some items for your website:

ER20 Collet Set x 1
ER20-A Collet nut x 3

Can you please supply a shipping cost so that I can make an order?

Thanks for your help,

[customer]","Hi [customer],

Thank you for your email.

To proceed further with this quote we will need the following details to add to your invoice:
Your full name
Contact Number
Company (optional)
Physical Address for delivery (PO Box and Parcel Locker not accepted)
Any special delivery instructions
Once we receive your information, we will send you an invoice with shipping included.

If you have any questions or concerns, please feel free to contact us. 


Kind regards,

[Staff Member]
Maker Store Team"
"Hi [Staff Member],

All details in red below.

[address]
Thanks,

[customer]","Hi [customer],

Thank you for your patience while we drafted this quotation for you.

Attached to this email is the pdf for your invoice, so you may review your order before purchasing.

This invoice is for payment via credit card. If you would like to pay via PayPal please let me know and I will adjust the invoice so it will include the 3% PayPal Processing Fee.

To proceed with the order, please follow the below payment link:
[payment link]

Please note that stock may vary from the date of proposal to the date of purchase.

Please note that all the prices are quoted in Australian Dollars.

If you have any questions, please do not hesitate to contact me. 


Kind regards,

[Staff Member]
Maker Store Team"
My apologies for this but I’ve just been talking to a work mate and he wants some items as well so we might as well ship and one order. When I hear back from him what he wants I’ll email again. Sorry for any hassle. ,"Hi [customer],

Thank you for getting back to me,

Not a problem, I can update this quotation for you if you provide me with the parts list you require.

Looking forward to hearing from you.

Please let me know if you have any questions or concerns.


Kind regards,

[Staff Member]
Maker Store Team"
"HI there [Staff Member],

Apologies for the delay, mate was a slacker in letting me know what he wants.  Anyway, i've pasted in a list below, all are qty x 1 of each (12 in total)

Thanks,

[customer]

1 Flute Carbide End Mill – Up Cut, 3.175mm & 6mm

 1 Flute Carbide End Mill Up Cut DLC, 4mm

 1 Flute Carbide V-Bit, 0.3mm x 6mm x 30deg, & 0.3mm x 6mm x 60deg & 0.3mm x 6mm x 90deg
 2 Flute Carbide End Mill – Down Cut, 6mm
 2 Flute Carbide End Mill – Straight Cut, 6mm
 2 Flute Carbide End Mill – Up Cut, 6mm
 2 Flute Carbide End Mill – Up Cut, 6mm

 2 Flute End Mill – Compression, 17CEL 3.175mm shk & 17CEL 6mm shk","Hi [customer],

Thank you for getting back to me,

I have updated the invoice as per your request. Please review this invoice and let me know if you have any changes to be made before proceeding with the payment.

I have added the listed end mills to your order. However, there was a duplicate item in the given list. Would be able to clarify this for me, please?

image.png

If it was a mistake and you only require 11 additional End mills, you would be able to proceed with the order normally.

Attached to this email is the pdf for your invoice, so you may review your order before purchasing.

This invoice is for payment via credit card. If you would like to pay via PayPal please let me know and I will adjust the invoice so it will include the 3% PayPal Processing Fee.

To proceed with the order, please follow the below payment link: 
[payment link]

Please note that stock may vary from the date of proposal to the date of purchase.

If you have any questions, please do not hesitate to contact me.


Kind regards,

[Staff Member]
Maker Store Team"
"Hey [Staff Member],

Apologies for the duplicate in that list, problem with cutting and pasting.  The second one that was repeated can I amend to:

2 Flute Carbide End Mills – Up Cut For Aluminium, 3.175mm & 6mm.

Making it 13 bits in total.

Thanks,

[customer]","Hi [customer],

Thank you for your patience while we updated this quotation for you.

I have made corrections to order 137152. Please review the invoice and let me know if all the items are correct by replying to this email.

Attached to this email is the pdf for your invoice, so you may review your order before purchasing.

This invoice is for payment via credit card. If you would like to pay via PayPal please let me know and I will adjust the invoice so it will include the 3% PayPal Processing Fee.

To proceed with the order, please follow the below payment link:
[payment link]

Please note that stock may vary from the date of proposal to the date of purchase.

If you have any questions, please do not hesitate to contact me. 


Kind regards,

[Staff Member]
Maker Store Team"
"Almost there, just need to get the 2 flute end mill, up cut in 6mm added back in (x1)  and its all sorted.","Hi [customer],

Thank you for your patience while we update this quotation for you.

Please let me know if there are any modifications to be made to this invoice before you proceed with payment.

Attached to this email is the pdf for your invoice, so you may review your order before purchasing.

This invoice is for payment via credit card. If you would like to pay via PayPal please let me know and I will adjust the invoice so it will include the 3% PayPal Processing Fee.

To proceed with the order, please follow the below payment link:
[payment link]

Please note that stock may vary from the date of proposal to the date of purchase.

If you have any questions, please do not hesitate to contact me. 


Kind regards,

[Staff Member]
Maker Store Team"
"Thanks. All done and paid for.  Just noticed a small problem in the address, can the city [address]please be added in?
","Hi [customer],

Not a problem, I have updated your order for you and we will get that out to you as soon as possible.

If you have any further questions please let me know.


Kind regards,

[Staff Member]
Maker Store Team"
"Hey guys,

Just spoke to you guys on the phone, regarding a probing issue, where we consistently get ALARM 4, when we press start. Attached below is our wiring. Hoping its a simple fix any ideas?

Kind regards","Hi [customer]

Thanks for sending through the photos and the video.

Your touch probe wiring to the controller looks fine, the issue can be in the probe option of ioSender. Can you please ensure the ""invert probe pin"" option in the Settings: Grbl window is ticked on. 

Please check the image below to find the invert probe option:
Click on Settings: Grbl > Probing > Invert probe pin: true > invert probe pin

ioSender_Probe.png

The wobbling of the lead screw indicates it has not been tightened properly using the Lead Screw Tensioning Nut. Please ensure the lock collars on all the axes are tightened properly.

Please check the Lead Screw Tensioning article using the link below

https://makerhardware.net/knowledge-base/build-manuals/cnc-machines/cnc-commissioning-guide/#articleTOC_7


Please let me know if you have any questions.


Kind regards,

[Staff Member]
Maker Store Team"
